trial,bleu,precision,recall,f1
1,0.03831250580346696,0.6322705745697021,0.6076874136924744,0.6197352409362793
2,0.04486689771816199,0.6420273184776306,0.6294883489608765,0.6356960535049438
3,0.08465524302065006,0.7034279108047485,0.6789041757583618,0.690948486328125
4,0.03893613532023594,0.6162245273590088,0.7137913703918457,0.6614293456077576
5,0.044026183529530666,0.5321974754333496,0.5667674541473389,0.5489386916160583
6,0.060440114149718206,0.6825277805328369,0.6318222284317017,0.6561969518661499
7,0.012749213517868173,0.6733646392822266,0.5488515496253967,0.604765772819519
8,0.034833164622926134,0.6240518689155579,0.5478618144989014,0.583480179309845
9,0.03801791294682467,0.6993389129638672,0.5873227119445801,0.638454794883728
10,0.017073529235948594,0.6257591247558594,0.5430351495742798,0.5814696550369263
11,0.10170360023455792,0.6710317730903625,0.6282321214675903,0.6489269733428955
12,0.09578323316907336,0.6347047090530396,0.6517357230186462,0.6431074738502502
13,0.06370113344868845,0.6007722020149231,0.5777267217636108,0.5890241265296936
14,0.0481358007679164,0.6058029532432556,0.5927726626396179,0.5992169976234436
15,0.03341833013596554,0.5728354454040527,0.6682330369949341,0.61686772108078
16,0.20314788243738732,0.6787893772125244,0.6878575086593628,0.683293342590332
17,0.07079946601830579,0.6237117052078247,0.5960126519203186,0.6095476746559143
18,0.09500014314995334,0.6682084798812866,0.6585803031921387,0.6633594632148743
19,0.0831319518847856,0.8018040060997009,0.6909809112548828,0.7422786951065063
20,0.11039490105219292,0.672353982925415,0.5953361392021179,0.6315054297447205
21,0.11679989074368054,0.7439831495285034,0.6819837093353271,0.7116355299949646
22,0.04014353522603494,0.5981382727622986,0.6488120555877686,0.6224454641342163
23,0.05933455918163489,0.607079803943634,0.6326833963394165,0.619617223739624
24,0.05013860527117276,0.5763665437698364,0.579845130443573,0.5781006217002869
25,0.012966550552503437,0.5676916241645813,0.46767890453338623,0.512854814529419
26,0.025640975986826495,0.6670397520065308,0.5502810478210449,0.6030609607696533
27,0.03270023999143545,0.6632828116416931,0.5805631279945374,0.6191723942756653
28,0.08023061356804324,0.6702333688735962,0.7088988423347473,0.6890240907669067
29,0.05518255434072893,0.6263975501060486,0.6499743461608887,0.6379681825637817
30,0.11419725598249957,0.6880260109901428,0.650294303894043,0.6686283349990845
31,0.06851534696076761,0.6598815321922302,0.6279273629188538,0.6435080170631409
32,0.005329935917005175,0.5716450214385986,0.5022656321525574,0.5347142219543457
33,0.06050240234555092,0.6020795702934265,0.5855875015258789,0.5937190055847168
34,0.007287455826615999,0.6297363638877869,0.5329261422157288,0.5773007273674011
