trial,bleu,precision,recall,f1
1,0.0610196213936921,0.6450280547142029,0.5783369541168213,0.6098646521568298
2,0.056220197340881954,0.6480593085289001,0.7231228351593018,0.6835364103317261
3,0.1062411625920723,0.7455289959907532,0.7010505199432373,0.7226059436798096
4,0.04450079052789879,0.6778929233551025,0.6154742240905762,0.64517742395401
5,0.03494750517853203,0.5966122150421143,0.6503661870956421,0.6223306059837341
6,0.06345246686201379,0.6164441704750061,0.6369121670722961,0.6265110373497009
7,0.09252253330769927,0.6459630727767944,0.6854588985443115,0.6651251912117004
8,0.09281826543347076,0.6944601535797119,0.6518864631652832,0.6725001931190491
9,0.06051611550623783,0.6631035804748535,0.630295991897583,0.6462836861610413
10,0.057029274855721825,0.7260432839393616,0.5936962366104126,0.6532336473464966
11,0.08726767881200746,0.7260433435440063,0.6987150311470032,0.712117075920105
12,0.04131424927587571,0.6654717922210693,0.6729317903518677,0.6691809892654419
13,0.048892170312770884,0.6215918660163879,0.6406168937683105,0.630961000919342
14,0.10826197073097166,0.6637115478515625,0.6710306406021118,0.6673510670661926
15,0.11992660389576403,0.7182489633560181,0.76580411195755,0.7412645220756531
16,0.05342157397500449,0.6021491289138794,0.5836215019226074,0.592740535736084
17,0.0715467283874221,0.6940464973449707,0.6346738338470459,0.663033664226532
18,0.07721969351926036,0.657647430896759,0.6623574495315552,0.6599940061569214
19,0.02650509702532697,0.7151092290878296,0.5771573781967163,0.6387699842453003
20,0.06663315390305297,0.6067265272140503,0.6114739179611206,0.6090909838676453
21,0.06388003436086007,0.709280252456665,0.6066327095031738,0.6539530158042908
22,0.011971840179755024,0.5044401288032532,0.5497549772262573,0.526123583316803
23,0.040946879733215875,0.6616836190223694,0.6506973505020142,0.6561444997787476
24,0.05970872517773794,0.6590632200241089,0.6316603422164917,0.6450709104537964
25,0.013605516404667322,0.7215343117713928,0.6018602252006531,0.6562862396240234
26,0.07532904181613401,0.6450040340423584,0.626643180847168,0.6356910467147827
27,0.03203354320899874,0.5572032928466797,0.623131275177002,0.5883260369300842
28,0.0828288874860457,0.767092227935791,0.6820365190505981,0.722068190574646
29,0.031195942277173615,0.567188024520874,0.579705536365509,0.5733785033226013
30,0.19083551743994479,0.7649762034416199,0.726299524307251,0.7451362609863281
31,0.0791507970088805,0.6326716542243958,0.654927670955658,0.6436073184013367
32,0.07164074042419147,0.7159351110458374,0.6329069137573242,0.6718656420707703
33,0.02579761320961366,0.6784108877182007,0.6030464172363281,0.6385124921798706
