trial,bleu,precision,recall,f1
1,0.11568483253954098,0.7087476849555969,0.6887444853782654,0.6986029148101807
2,0.023445079309320372,0.6121471524238586,0.5295711755752563,0.567872941493988
3,0.060069836843443185,0.7002919912338257,0.6298471689224243,0.6632041931152344
4,0.036049875676992034,0.5300705432891846,0.6744656562805176,0.59361332654953
5,0.07092512252643117,0.6025980710983276,0.5639646053314209,0.5826416015625
6,0.03889232283893056,0.6428776979446411,0.5713573694229126,0.6050112247467041
7,0.056810579523099,0.7006322145462036,0.6205013394355774,0.6581366658210754
8,0.05731549818248111,0.7154129147529602,0.5585811138153076,0.6273438930511475
9,0.008620980654606319,0.6481236219406128,0.5105305910110474,0.5711573362350464
10,0.037574400546321204,0.6943186521530151,0.6039878726005554,0.6460108757019043
11,0.16170596160446446,0.7468904256820679,0.7199091911315918,0.7331516146659851
12,0.12821714967272343,0.6592154502868652,0.6686670780181885,0.6639075875282288
13,0.09298659241363202,0.6747421622276306,0.6693509221076965,0.6720357537269592
14,0.06599785543571114,0.6529761552810669,0.6749207377433777,0.6637671589851379
15,0.11181684082279772,0.6787300109863281,0.691626787185669,0.6851177215576172
16,0.18885686811159,0.6379340887069702,0.6216698288917542,0.6296969056129456
17,0.10915991404394244,0.6739322543144226,0.7071241140365601,0.6901293396949768
18,0.08085319043807601,0.6954706907272339,0.656827449798584,0.6755969524383545
19,0.040165358945650056,0.6517497301101685,0.6813916563987732,0.6662411689758301
20,0.07964747644968917,0.6314674019813538,0.6313678026199341,0.6314175724983215
21,0.15758571585771042,0.7301601767539978,0.711385190486908,0.7206504344940186
22,0.09225310027905977,0.6585407257080078,0.6435203552246094,0.65094393491745
23,0.0415316816503194,0.5758392214775085,0.6327571868896484,0.6029579043388367
24,0.04520425200772129,0.5834843516349792,0.5993028879165649,0.5912878513336182
25,0.17571004245056196,0.7542610764503479,0.7218207120895386,0.737684428691864
26,0.06763092066152579,0.6307216882705688,0.720827579498291,0.6727709770202637
27,0.04571265571210305,0.660020112991333,0.5869761109352112,0.6213588118553162
