trial,bleu,precision,recall,f1
1,0.04237342803911843,0.7046451568603516,0.6183896064758301,0.6587056517601013
2,0.06083012770469508,0.626331090927124,0.6552351117134094,0.6404572129249573
3,0.01964345798698475,0.49073588848114014,0.5778309106826782,0.5307340025901794
4,0.03354694918224621,0.6282932162284851,0.5366038084030151,0.5788400769233704
5,0.06725312586742148,0.6260321736335754,0.6693421602249146,0.6469631195068359
6,0.09970307120159631,0.5784093141555786,0.6107317805290222,0.5941312909126282
7,0.04654881905002777,0.5094870924949646,0.6108304262161255,0.5555750727653503
8,0.03514613907294326,0.6894944906234741,0.6169435381889343,0.651204526424408
9,0.11639725484903249,0.7129518985748291,0.6711459159851074,0.6914175748825073
10,0.036766037737301464,0.583640456199646,0.6624010801315308,0.6205316185951233
11,0.015406472613372087,0.5048065185546875,0.6316822171211243,0.5611622929573059
12,0.024815653413300942,0.6785261034965515,0.6234660148620605,0.6498318314552307
13,0.07795904674258271,0.6372397541999817,0.6573852896690369,0.6471558213233948
14,0.09974554006489963,0.6445038318634033,0.6303907632827759,0.6373691558837891
15,0.07781822889631988,0.6372377872467041,0.7106320858001709,0.6719366908073425
16,0.05717965196793239,0.6430802941322327,0.5860545635223389,0.6132445931434631
17,0.04784672032815752,0.6337259411811829,0.6811389923095703,0.6565776467323303
18,0.042122394516061916,0.6190066337585449,0.5973142981529236,0.607966959476471
19,0.03608411988640661,0.7143855690956116,0.6566846966743469,0.6843209862709045
20,0.10344968368092886,0.6490201950073242,0.6657682657241821,0.6572875380516052
21,0.10685719367142049,0.6549704074859619,0.6569868326187134,0.6559770703315735
22,0.04081226931264157,0.7111625671386719,0.6130274534225464,0.6584586501121521
23,0.06627674079346849,0.6538038849830627,0.6494252681732178,0.6516072154045105
24,0.02269387492823271,0.6907554864883423,0.5593936443328857,0.6181730031967163
25,0.03177276588835937,0.5631979703903198,0.610081136226654,0.5857028961181641
26,0.050226909330437136,0.6746516227722168,0.628688633441925,0.6508597135543823
27,0.035123196052604236,0.5977684259414673,0.657606303691864,0.626261293888092
28,0.07529259035452532,0.61380535364151,0.5789378881454468,0.5958619713783264
29,0.03292366463117867,0.5672257542610168,0.5900254249572754,0.5784010291099548
30,0.08424020711852415,0.6501611471176147,0.6750856637954712,0.6623890399932861
31,0.21030905618684084,0.7474344968795776,0.6653421521186829,0.7040032148361206
32,0.050577832871216415,0.7057766318321228,0.6020764112472534,0.6498153209686279
33,0.010648239838842069,0.5938498973846436,0.5277019739151001,0.5588252544403076
34,0.12762333413169927,0.644791841506958,0.714453935623169,0.6778377890586853
35,0.06763180066887967,0.7303758859634399,0.6686818599700928,0.6981686353683472
36,0.025597788064737104,0.672718346118927,0.5657116174697876,0.6145919561386108
37,0.04186169179617315,0.6274015307426453,0.6590888500213623,0.6428549289703369
38,0.026344154867783662,0.477544367313385,0.6346908807754517,0.5450160503387451
39,0.10007552011437244,0.6143805384635925,0.6025034189224243,0.6083840131759644
40,0.06616954491182746,0.5885618925094604,0.5859394073486328,0.5872477293014526
41,0.12076200248882996,0.6593242287635803,0.6500104069709778,0.6546341776847839
42,0.03752161319715021,0.7629209160804749,0.6250853538513184,0.6871592998504639
43,0.09262467864323097,0.6805338859558105,0.6331426501274109,0.6559834480285645
44,0.1112462414270324,0.6652151942253113,0.7162025570869446,0.6897679567337036
45,0.04400949916665955,0.6958284378051758,0.6380248069763184,0.6656741499900818
46,0.05224108638043658,0.6032795906066895,0.6875343918800354,0.6426572203636169
47,0.07900112238646823,0.6205960512161255,0.6191457509994507,0.6198700666427612
48,0.02741282788665831,0.5659403204917908,0.6519543528556824,0.6059100031852722
49,0.032496285126868606,0.5727093815803528,0.6040850281715393,0.5879789590835571
50,0.0674514145233175,0.552325963973999,0.6704199314117432,0.605670154094696
51,0.1518501789649086,0.6795213222503662,0.652060329914093,0.6655076742172241
52,0.08812791726294089,0.5606100559234619,0.5881784558296204,0.5740635395050049
53,0.0029891909985359172,0.7355924844741821,0.5929790735244751,0.6566314697265625
54,0.058697379300053205,0.652708888053894,0.5910273790359497,0.6203386187553406
55,0.03134864439650102,0.617316484451294,0.6349475979804993,0.6260079741477966
56,0.06970368662573707,0.6343117356300354,0.6135031580924988,0.6237339377403259
57,0.04871423422320861,0.659127950668335,0.5981329679489136,0.6271508932113647
58,0.08507331335123522,0.6957994699478149,0.7297486066818237,0.7123697400093079
59,0.03915301685265177,0.63881915807724,0.5570582747459412,0.595143735408783
60,0.020534181764425504,0.5766683220863342,0.6180386543273926,0.5966372489929199
61,0.06487315425216496,0.6933832764625549,0.6986353397369385,0.6959994435310364
62,0.029607978804857618,0.6415519714355469,0.5633738040924072,0.5999267101287842
63,0.038549767833437394,0.6600242257118225,0.6347130537033081,0.6471211910247803
64,0.015169237478635024,0.6250869035720825,0.53077632188797,0.5740840435028076
65,0.036497868804954016,0.5384695529937744,0.6062053442001343,0.5703333020210266
66,0.04166987289900122,0.6000596284866333,0.6100747585296631,0.6050257682800293
67,0.07176670799451358,0.6152297258377075,0.5409168601036072,0.5756850838661194
68,0.09759243428719087,0.6602824926376343,0.6906081438064575,0.6751049160957336
69,0.06871972233067503,0.7152326107025146,0.6936396956443787,0.7042706608772278
70,0.007224577482325077,0.677945077419281,0.559950590133667,0.6133242845535278
71,0.011455509853327439,0.6326020956039429,0.5627396106719971,0.5956292748451233
